epoch,train_loss,val_loss,train_f1_macro,val_f1_macro
1,0.7283203181098489,0.6287897561809846,0.2244607244607245,0.22974963181148747
2,0.6314528655699071,0.5986182081646153,0.38902366044455006,0.30402710402710403
3,0.5586563202429234,0.5713047037965485,0.467619139243159,0.3629104605375792
4,0.5031483152073205,0.4825769736697631,0.6625467966943978,0.5213502894954508
5,0.44049948951065104,0.47062784859112333,0.7337764745936172,0.5783302287229594
6,0.36442558104446265,0.4882270820838,0.8348496341174728,0.5980848608208653
7,0.33240696369423806,0.4883966548368335,0.8596174659993275,0.6384779544099538
8,0.2858020391739795,0.5359102728377495,0.8754557412590321,0.6228398646814206
9,0.26155821994796175,0.561951609062297,0.8864070985302955,0.6042860960603792
10,0.21736641334342388,0.5916292738901185,0.8961114145449872,0.6146318497083275
